PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24,Hole25,Hole26,Hole27,Hole28
Lianne,Xenia Rotary Disc Golf Course,Main 18 Hole Layout,2023-06-18 15:44,62,6,3,3,3,3,3,3,3,3,5,5,3,3,4,4,4,2,2,6,,,,,,,,,,
Lane,Xenia Rotary Disc Golf Course,Main 18 Hole Layout,2023-06-18 15:44,53,-3,2,4,3,4,2,3,3,2,3,2,3,3,4,3,3,3,3,3,,,,,,,,,,
Par,Cedar Lakes Disc Golf,24 Hole Short Tees,2023-06-12 18:57,77,,3,3,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,4,,,,
Lianne,Cedar Lakes Disc Golf,24 Hole Short Tees,2023-06-12 18:57,37,2,4,3,5,2,3,3,3,0,0,0,0,3,0,0,4,4,3,0,0,0,0,0,0,0,,,,
Lane,Cedar Lakes Disc Golf,24 Hole Short Tees,2023-06-12 18:57,33,-2,3,3,3,3,3,3,4,0,0,0,0,3,0,0,3,3,2,0,0,0,0,0,0,0,,,,
Par,Kilborne TPC,Short Pads to Short baskets ,2023-05-29 11:02,57,,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,,
Lianne,Kilborne TPC,Short Pads to Short baskets ,2023-05-29 11:02,73,16,4,5,5,3,5,4,4,3,5,4,6,4,4,3,3,4,4,3,,,,,,,,,,
Lane,Kilborne TPC,Short Pads to Short baskets ,2023-05-29 11:02,57,0,4,2,5,3,3,3,3,4,3,3,3,2,3,3,3,3,4,3,,,,,,,,,,
Par,Eager Beaver at Elon Park,Longs,2023-05-28 15:40,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Lianne,Eager Beaver at Elon Park,Longs,2023-05-28 15:40,67,13,3,4,5,5,4,5,4,3,3,2,4,4,4,4,2,4,3,4,,,,,,,,,,
Lane,Eager Beaver at Elon Park,Longs,2023-05-28 15:40,52,-2,2,3,4,2,3,2,2,3,3,3,3,3,4,3,2,3,3,4,,,,,,,,,,
Par,Winthrop University,Lakefront,2023-05-27 19:12,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Lianne,Winthrop University,Lakefront,2023-05-27 19:12,40,10,4,3,5,4,4,4,4,4,4,0,0,4,0,0,0,0,0,0,,,,,,,,,,
Lane,Winthrop University,Lakefront,2023-05-27 19:12,31,1,3,3,3,3,3,3,3,4,3,0,0,3,0,0,0,0,0,0,,,,,,,,,,
Par,Plantation Ruins at Winget,Main,2023-05-27 09:26,58,,3,3,3,3,3,3,3,4,4,3,3,4,3,4,3,3,3,3,,,,,,,,,,
Lianne,Plantation Ruins at Winget,Main,2023-05-27 09:26,77,19,4,6,4,4,4,3,5,6,4,3,4,5,4,5,4,4,3,5,,,,,,,,,,
Lane,Plantation Ruins at Winget,Main,2023-05-27 09:26,57,-1,3,4,3,3,3,2,2,3,4,2,3,4,4,4,3,4,3,3,,,,,,,,,,
Par,Little Creek Park,Main,2023-05-21 11:48,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,
Lianne,Little Creek Park,Main,2023-05-21 11:48,69,15,3,3,4,4,4,4,4,6,6,2,4,3,4,3,4,4,4,3,,,,,,,,,,
Lane,Little Creek Park,Main,2023-05-21 11:48,59,5,2,4,2,5,4,2,4,3,3,3,3,3,5,5,2,3,3,3,,,,,,,,,,
Par,Lake Stephens,Lake Stephens - White Tees,2023-05-14 13:17,60,,3,3,4,3,4,3,4,3,4,3,3,3,4,3,3,3,3,4,,,,,,,,,,
Lianne,Lake Stephens,Lake Stephens - White Tees,2023-05-14 13:17,82,22,3,4,6,3,4,3,6,4,8,6,3,6,6,3,3,4,4,6,,,,,,,,,,
Lane,Lake Stephens,Lake Stephens - White Tees,2023-05-14 13:17,56,-4,3,2,4,3,3,3,4,3,5,4,3,2,3,3,3,3,1,4,,,,,,,,,,
Par,Valley Park,Short Tees,2023-05-07 14:53,58,,3,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,4,,,,,,,,,,
Lane,Valley Park,Short Tees,2023-05-07 14:53,54,-4,3,4,2,2,3,3,4,2,4,3,2,2,2,6,2,3,3,4,,,,,,,,,,
Par,Forked Run State Park,Reds,2023-05-06 18:29,79,,3,3,4,3,3,3,3,3,3,3,4,3,4,4,4,3,3,3,4,3,4,3,3,3,,,,
Lane,Forked Run State Park,Reds,2023-05-06 18:29,63,-3,2,3,5,3,2,3,1,3,3,2,4,3,4,5,5,2,3,3,4,3,0,0,0,0,,,,
Par,Rolling Pines,24 Hole Layout White Tees,2023-03-26 12:09,74,,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,,,,
Lane,Rolling Pines,24 Hole Layout White Tees,2023-03-26 12:09,72,-2,3,3,2,3,3,3,3,3,3,2,3,5,2,3,3,3,5,3,3,3,3,3,2,3,,,,
Par,Veterans Park,Main,2023-03-25 19:12,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
Lane,Veterans Park,Main,2023-03-25 19:12,22,-5,3,2,3,3,2,2,3,2,2,,,,,,,,,,,,,,,,,,,
Par,Veterans Park,Main,2023-03-25 18:06,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
Lane,Veterans Park,Main,2023-03-25 18:06,27,0,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
Par,The Scrapyard DGC,Short Tees ,2023-03-25 14:14,57,,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,4,3,,,,,,,,,,
Lane,The Scrapyard DGC,Short Tees ,2023-03-25 14:14,53,-4,2,2,3,4,3,3,3,3,2,4,3,3,3,2,3,3,4,3,,,,,,,,,,
Par,Bradford Park,19 Holes - Shorts,2023-03-24 16:01,58,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,,,,,,,,,
Lane,Bradford Park,19 Holes - Shorts,2023-03-24 16:01,58,0,3,3,2,3,3,4,3,3,3,3,3,3,3,3,4,2,3,2,5,,,,,,,,,
Par,Bailey Road Park,21 Hole Layout,2023-03-24 12:16,63,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,
Lane,Bailey Road Park,21 Hole Layout,2023-03-24 12:16,56,-7,2,3,3,3,3,3,3,3,3,2,2,3,3,3,2,2,3,3,2,3,2,,,,,,,
Par,Valley Park,Short Tees,2023-02-26 15:39,57,,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,,,,,,,,,,
Lane,Valley Park,Short Tees,2023-02-26 15:39,53,-4,3,4,2,3,2,3,3,3,2,2,3,2,3,5,3,3,3,4,,,,,,,,,,
Par,Valley Park,Short Tees,2023-02-26 12:02,57,,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,,,,,,,,,,
